CategoriesName,ParentCategoriesName,CategoriesPDF,Contact
สมัครเรียน,สมัครเรียน,https://drive.google.com/file/d/1TTFnQehj6Od0R6KwfUDp4Duocq3bbnSc/view?usp=drive_link,"สายตรง: 0-5671-7119  
ภายใน: 0-5671-7100 ต่อ 1121-9"
กำหนดการและรอบการรับสมัคร,สมัครเรียน,,
เกณฑ์การรับสมัครเรียน,สมัครเรียน,,
ขั้นตอนและช่องทางการสมัครเรียน,สมัครเรียน,,
การชำระเงินสมัครเรียน,สมัครเรียน,,
คุณสมบัติพื้นฐานและวุฒิการศึกษา,สมัครเรียน,,
การเทียบโอนหน่วยกิต,สมัครเรียน,,
สอบถามเรื่องการสมัครเรียน,สมัครเรียน,,
ทุนอุดหนุนการศึกษา,ทุนอุดหนุนการศึกษา,https://drive.google.com/file/d/1jLNizTbKxPX1aFXQYgc7D_uNuX-QGczv/view?usp=drive_link,"สายตรง: 056-717119
ภายใน: 056-717100 ต่อ 1121 หรือ 1122"
ทุนเรียนดี,ทุนอุดหนุนการศึกษา,,
ทุนนักกีฬา,ทุนอุดหนุนการศึกษา,,
ทุนความสามารถพิเศษ,ทุนอุดหนุนการศึกษา,,
ทุนสร้างโอกาสทางการศึกษา,ทุนอุดหนุนการศึกษา,,
เรื่องทั่วไปของทุน,ทุนอุดหนุนการศึกษา,,
สอบถามเกี่ยวกับทุนอุดหนุนการศึกษา,ทุนอุดหนุนการศึกษา,,
ทุนกู้ยืมเพื่อการศึกษา (กยศ.),ทุนกู้ยืมเพื่อการศึกษา (กยศ.),,"ติดต่อ: 056-717144 ต่อ 5103 หรือ 5101
ลิงค์: https://www.facebook.com/Studentloan.PCRU"
สถานะผู้กู้ กยศ.,ทุนกู้ยืมเพื่อการศึกษา (กยศ.),,
ชั่วโมงจิตอาสา กยศ.,ทุนกู้ยืมเพื่อการศึกษา (กยศ.),,
ติดตามข่าวสาร กยศ.,ทุนกู้ยืมเพื่อการศึกษา (กยศ.),,
ติดต่อเจ้าหน้าที่ กยศ.,ทุนกู้ยืมเพื่อการศึกษา (กยศ.),,
บริการด้าน IT,บริการด้าน IT,,"ลิงค์: 
https://www.facebook.com/aritc.pcru"
ติดต่อปัญหาด้าน IT,บริการด้าน IT,,
ห้องคอมพิวเตอร์,บริการด้าน IT,,
อินเทอร์เน็ต,บริการด้าน IT,,
อีเมล และ Microsoft 365,บริการด้าน IT,,
บริการเสริมอื่น ๆ,บริการด้าน IT,,
หอพักนักศึกษา,หอพักนักศึกษา,,"ติดต่อ: 056-717100 ต่อ 5115 
ลิงค์: https://web.facebook.com/DormitoryPcru"
การสมัครเข้าและคู่มือระบบหอพัก,หอพักนักศึกษา,,
ค่าธรรมเนียมหอพัก,หอพักนักศึกษา,,
กฎระเบียบหอพัก,หอพักนักศึกษา,,
สิ่งอำนวยความสะดวกภายในห้องพัก,หอพักนักศึกษา,,
ติดต่อหอพัก,หอพักนักศึกษา,,
ระเบียบการเข้า-ออกหอพัก,หอพักนักศึกษา,,
ความปลอดภัยของหอพัก,หอพักนักศึกษา,,
